ID_Unidad,Tiempo_Ensamblaje_min,Cantidad_Piezas,Torque_Tornillos_Nm,Presión_Neumáticos_PSI,Inspección_Visual,Prueba_Funcional
1.0,103.832418807992,90.0,51.67913613588593,,Rechazado,Sí
2.0,108.28668170179486,78.0,46.172376524203855,30.858617993286813,Rechazado,No
3.0,130.57239062644902,71.0,51.43845019531876,31.936275459161763,Nuevo_3,No
4.0,105.2078466514204,50.0,38.4593043355315,31.380387953050363,Rechazado,Nuevo_5
5.0,113.8742743441954,66.0,54.88068689961527,,Aprobado,No
6.0,93.42635061631158,86.0,52.82868568140936,33.49112351935573,Rechazado,Sí
7.0,122.4279102637935,87.0,50.10891517610345,31.748893305681356,Nuevo_2,No
8.0,123.6085845369888,73.0,46.04146968550301,,Rechazado,No
9.0,134.53595155535822,58.0,53.26916632156624,32.33027879025212,Rechazado,Sí
10.0,118.83765705692004,78.0,56.05848155767424,32.48880339083382,Aprobado,Nuevo_3
11.0,141.2373644333467,76.0,52.141206185249175,33.29377047166185,Nuevo_4,No
12.0,92.9684499058526,95.0,56.00727110613819,29.362123563659992,Aprobado,Sí
13.0,112.35333717474045,73.0,43.15333322117765,32.17708190234412,Aprobado,Sí
14.0,127.03087401488004,82.0,43.128281453091496,32.758205652294016,Rechazado,Nuevo_3
15.0,109.36158604505306,83.0,49.37686571552555,34.63491700312111,Rechazado,Nuevo_3
16.0,106.58516939451512,80.0,56.78575830546524,27.98863352637652,Rechazado,No
17.0,103.88373837578904,93.0,51.95711667113933,30.835177408738996,Aprobado,Nuevo_5
18.0,123.20077471393996,58.0,44.83464958538124,31.8848590777816,Rechazado,Nuevo_1
19.0,128.00764163456975,78.0,51.95793969378512,29.185149307319698,Nuevo_5,Nuevo_5
20.0,126.4616505108336,84.0,56.33524079316892,31.25331060929993,Rechazado,Sí
21.0,117.35337174804982,52.0,43.38352496385573,32.21379021036091,Rechazado,Sí
22.0,122.99640928945573,86.0,47.29103356929763,36.47313265935392,Nuevo_1,Nuevo_5
23.0,149.4330499745849,76.0,51.67389271152989,31.170034428048865,Aprobado,Sí
24.0,105.90449186119504,71.0,45.31970368045163,34.302949236191104,Aprobado,Nuevo_3
25.0,110.9146373299632,65.0,39.66928367808511,33.07082825251852,Aprobado,Nuevo_5
26.0,126.4140104279746,96.0,53.10470228472224,31.311611739808114,Rechazado,No
27.0,109.48059920411296,80.0,57.11636599552118,31.841050879334063,Aprobado,Nuevo_2
28.0,114.7284477815196,60.0,57.13284623202362,33.11798042811093,Nuevo_3,Sí
29.0,122.14470294793824,97.0,52.34302498174744,29.64597118566959,Rechazado,No
30.0,133.61644618120312,86.0,46.18667440335226,34.65543283181766,Nuevo_1,No
31.0,122.3521255249836,70.0,51.42228067148676,,Aprobado,Sí
32.0,138.8037456814125,87.0,48.29688149131277,29.18836911305807,Rechazado,
33.0,98.48756200515771,88.0,50.37851967635642,32.06419093690141,Nuevo_3,Nuevo_1
34.0,125.32741115846945,98.0,42.784853174653946,31.69639048265453,Aprobado,No
35.0,97.35096191283148,75.0,44.87617889863905,31.845696649200708,Aprobado,Sí
36.0,88.68695808529418,64.0,44.3611198552593,29.680248856305056,Aprobado,Nuevo_5
37.0,116.23697345813656,61.0,51.89858727482958,35.10174316171764,Nuevo_1,Sí
38.0,125.08552510252488,67.0,55.2069176573612,35.15964719369428,Rechazado,Nuevo_5
39.0,122.04049771484635,56.0,41.87078430104536,31.006960730432706,Rechazado,Sí
40.0,114.27032559185396,85.0,41.653602821031406,31.89906956477405,Nuevo_3,Nuevo_1
41.0,117.26926342358288,98.0,49.17229879811092,30.872388970725023,Nuevo_4,No
42.0,116.08283845377504,75.0,46.6665635992684,,Rechazado,
43.0,106.8832223230462,65.0,52.759590243702014,33.08159440739193,Rechazado,Nuevo_1
44.0,93.3547708543002,50.0,56.37334831021956,27.383475905389325,Aprobado,Nuevo_5
45.0,113.90561318256992,88.0,46.50791998217996,32.37888046502482,Nuevo_2,No
46.0,118.57734499252092,83.0,61.83258624350344,31.268312450155587,Rechazado,Sí
47.0,127.0629620272908,86.0,58.76642324053663,30.05619411462663,Rechazado,Sí
48.0,118.13227276717603,90.0,51.72923466900128,32.08838717146714,Aprobado,No
49.0,162.9719719023384,84.0,51.23967992789003,35.07822005606695,Aprobado,Nuevo_3
50.0,113.1096357927342,54.0,49.1295486328258,33.255093022632096,Aprobado,Sí
51.0,113.4076727735866,81.0,46.03627375107307,28.36532063473215,Nuevo_1,No
52.0,106.78891654180768,71.0,57.13784812042282,31.39235228558237,Nuevo_3,No
53.0,121.933561254618,74.0,54.666720496759616,31.594359974443147,Rechazado,No
54.0,125.28615763858492,53.0,41.43842045997218,34.42688887058967,Aprobado,Sí
55.0,144.08248257069525,74.0,50.71400416471339,32.07030830098758,Aprobado,No
56.0,140.95565108264836,98.0,41.69923960014152,28.69849167973265,Rechazado,Nuevo_3
57.0,114.8057339956392,81.0,43.33868329311065,29.31772773393859,Rechazado,No
58.0,134.119925554042,91.0,52.84279436288034,,Rechazado,Nuevo_3
59.0,115.1028302065891,95.0,50.09876867149177,31.27733104836974,Aprobado,Nuevo_2
60.0,122.09932424775148,85.0,45.40851586056323,32.69088209768317,Rechazado,Nuevo_4
61.0,104.13957928602248,59.0,55.70244187474907,32.89879808447368,Nuevo_5,Nuevo_5
62.0,137.2012254224706,78.0,49.14392922835102,33.97572105299224,Aprobado,No
