ID_Cultivo,Tipo_Cultivo,pH_Suelo,Humedad_Suelo_%,Nivel_Nitrógeno_mgL,Rendimiento_tonHa,Calidad_Cosecha
1,Trigo,5.645032240413984,27.350746941765244,21.256520314125616,5.646262276019014,Media
2,Soja,7.187954964154482,44.68732709674868,17.298182932029803,9.334023276596671,Alta
3,Maíz,6.211284527637478,31.358200975443594,42.418144781185084,5.90964376179934,Baja
4,Algodón,7.000951972449084,30.788660716831103,36.302056733940034,4.372882216204868,Baja
5,Algodón,7.000834315826824,23.029965426736666,18.109376711185547,3.7699728585703456,Media
6,Soja,7.351880466124503,31.772410103426203,35.101594456155105,9.234567869093041,Media
7,Soja,6.745686026247769,30.878675824402755,16.75548193396271,2.0562023321081186,Alta
8,Cebada,5.7508442931988615,32.81375759209956,13.053232134913069,3.4729883432275743,Alta
9,Maíz,7.248357802512055,43.35575777969573,46.85047453624498,2.0284055900050895,Alta
10,Trigo,5.5033901777009255,11.97033141796636,44.609185102886364,6.332390664241741,Media
11,Cebada,6.081008935393594,12.611253288636126,33.84632377287318,4.224017484305087,Alta
12,Soja,6.063805652900025,33.48802883263469,32.583857293799355,7.858760676988883,Media
13,Maíz,6.324799442775582,42.92862015625927,29.116282464872214,5.83904255829215,Baja
14,Algodón,7.426805978377752,37.787090955165034,33.17204354626785,8.963410583242393,Baja
15,Cebada,7.4073969648736515,46.17558853612793,19.00515909085275,2.6117789025076217,Alta
16,Algodón,6.445521831223367,17.248367282563642,10.105569205677028,8.46406931669808,Alta
17,Algodón,5.571647165017757,43.53964868828839,39.102998020759856,3.930850274730764,Alta
18,Algodón,7.251892721869094,48.3985513536329,28.3065774983353,9.776268718519082,Baja
19,Maíz,6.885183827569824,11.734657097113894,37.659410534499926,8.680416596592213,Media
20,Trigo,6.523965429179618,45.973805640047644,43.25511958447177,9.935369255927224,Alta
21,Soja,7.266702281295174,37.20416143859225,46.45255941752132,5.4575212067148655,Alta
22,Trigo,7.29278199582905,45.16710924790823,35.6573087062223,5.502512046610481,Media
