ID_Envase,Peso_g,Espesor_mm,Resistencia_Impacto_J,Transparencia_%,Tiempo_Enfriamiento_segundos,Aprobado
1,52.52827228754592,1.1639918016685782,4.839487617442128,73.40642602460153,28.30035156221296,Sí
2,47.2902278146484,1.2606118120300565,5.26982015823888,80.47676763444917,27.96702954961206,Sí
3,48.44721936129965,1.3295101501821027,4.650426278430793,87.32654533714631,31.001296892933134,No
4,52.8550784643365,1.3321199789082354,4.645146145959931,87.79849933217677,31.729470956197304,Sí
5,50.765539336228926,1.2186658278493796,5.083294312225704,88.43742756390363,31.534208809229604,Sí
6,51.34263766997766,1.106130134993024,4.794303613521908,83.86912189588351,31.82410796244397,No
7,49.00428698946202,1.3373925860938605,5.429366938939026,96.58154441111188,29.105464380383747,Sí
8,47.30301649454233,1.1867581000699507,5.476858649869018,90.742581777406,29.00664939785364,Sí
9,49.70824981430358,1.0625401719838847,5.8515011488042505,88.92784751961226,22.75689436839133,Sí
10,48.91974703611546,1.1968824506771516,5.085616899696085,84.79305833197982,26.556920988968997,Sí
11,48.93993287144499,1.1672510929121596,5.034773081718165,76.37988559271044,30.914329456832125,Sí
12,49.597730496263495,1.119370260157455,4.32618970035165,94.14499808571254,27.771743637305068,Sí
13,50.691904795399246,1.218523034711961,4.9745454573430745,82.6725890390319,25.900707031519342,Sí
14,48.56055348085463,0.9892064018859932,3.910172111255114,86.39298781709182,44.15523288811451,Sí
15,50.90872409403946,1.0482934339287326,5.220769943276841,90.83442352410265,33.552672916216565,Sí
16,52.409759666095866,1.2069696741376144,4.421506305319201,86.42337026370285,33.15572917517961,Sí
17,50.98642341030408,1.137468746458873,3.914589870065945,89.54497208783553,24.69731706078712,Sí
18,52.69566603388421,1.1858167745768793,4.847666465711289,78.9455680108004,28.540419533189333,Sí
19,51.998196186248464,1.3641920369237115,4.977255340557789,82.21287663849103,24.93588126977407,Sí
20,51.91328871766048,1.2090915335454149,4.366723033837065,87.96317537228781,28.21572835871497,Sí
21,48.82560588763733,1.0459775597469942,5.38431897122288,85.20817304560086,30.60582538174009,No
22,51.93658559477902,1.283316415535222,3.67760474977805,85.8998634287222,31.750209599499737,Sí
23,50.00341792110153,1.1794497421986148,6.150386852672721,79.24266474149056,31.89464525853416,Sí
24,52.95067869500068,1.3435817093529876,5.205822711368934,90.73215916646654,29.447971477366835,Sí
25,53.3064561047781,1.2166484494090055,4.421909437794753,86.75419895224535,28.160389498990757,No
26,51.780652856320685,1.2675871870851103,4.536490128538376,88.09699376134559,27.25890069849201,Sí
27,50.47067607054253,1.2780093751855437,4.944043295810024,83.15927798764488,30.070196614490648,Sí
28,50.725041835790776,1.1660277945117417,4.812964792432554,89.72760408800872,30.93845005933536,Sí
29,50.4606653088722,1.0553226260650734,4.698923029794249,79.83420119547304,33.008739999047194,No
30,48.40684883913951,1.35498484343275,5.273628603411597,86.89025854634207,28.208529478412377,Sí
31,48.09193638265504,1.2732290546581186,5.656591085407923,81.68145662008165,29.366163550040223,Sí
32,51.29614195639796,1.2435207636640746,4.448077752297415,78.58034605224613,23.711705786287013,Sí
